Name,State,Electorate,Party,ScreenName,Gender,Comments
Adam Pulford,Victoria,Wills,Greens,adampulford,M,
Sue Bolton,Victoria,Wills,VS,sueabolton,F,
Chris Miles,Victoria,Wills,AJP,ChrisMilesAJP,,
Madeleine King,Western Australia,Brand,Labor,MadeleineMHKing,,
Matt Keogh,Western Australia,Burt,Labor,mattkeogh,,
Mark Cooper,Western Australia,Cowan,Greens,mark_coopotron,M,
Sheila Mundy,Western Australia,Cowan,PHON,sheila_mundy,F,
Louise Stewart,Western Australia,Curtin,Ind,1LouiseStewart,F,
Melissa Price,Western Australia,Durack,Lib,Melissa4Durack,,
Johani Mamid,Western Australia,Durack,Greens,johani_mamid,M,
Nola Marino,Western Australia,Forrest,Lib,NolaMarinoMP,,
Nerilee Boshammer,Western Australia,Forrest,Greens,nezziebee82,,
Josh Wilson,Western Australia,Fremantle,Labor,Josh4Freo,,
Ken Wyatt,Western Australia,Hasluck,Lib,KenWyattMP,,
Lee-Anne Miles,Western Australia,Hasluck,Greens,LeeAnne4Pearce,F,
Mike Dale,Western Australia,Hasluck,UAP,MikeUap,,
Ian Goodenough,Western Australia,Moore,Lib,IanGoodenoughMP,,
Rick Wilson,Western Australia,O'Connor,Lib,Rick_Wilson_Lib,,
Anthony Fels,Western Australia,O'Connor,UAP,HonAnthonyFels,M,
John Hassell,Western Australia,O'Connor,Nat,HassellOConnor,M,
Peter Swift,Western Australia,O'Connor,WAP,Peterswift12,M,
Christian Porter,Western Australia,Pearce,Lib,cporterwa,,
Michael Calautti,Western Australia,Pearce,WAP,MichaelCalautti,,
Vince Connelly,Western Australia,Stirling,Lib,vince_connelly,,
Steve Irons,Western Australia,Swan,Lib,SteveIronsMP,M,
Liberty Cramer,Western Australia,Swan,Greens,LibertyCramer,F,
Steve Klomp,Western Australia,Swan,AC,SteveKlomp,M,
Jillian Horton,Western Australia,Tangney,Ind,DrJillianHorton,F,
